Station_Date,Station_Name,Fire_ID,Fire_Date,days_since_fire,Size_Ha,Distance_km
2023-05-19,FORT ST. JOHN - LEARNING CENTRE,BC-2023-2023-G80223,2023-05-05,14,2947,30.054272622959953
2023-05-19,FORT ST. JOHN - LEARNING CENTRE,BC-2023-2023-G80280,2023-05-12,7,619072.5,168.29589082604747
2023-05-19,FORT ST. JOHN - LEARNING CENTRE,BC-2023-2023-G80291,2023-05-13,6,29505.9,37.25981520314567
2023-05-19,FORT ST. JOHN - LEARNING CENTRE,BC-2023-2023-G90273,2023-05-11,8,42838.5,212.070901039926
2023-08-21,KAMLOOPS - FEDERAL BUILDING,BC-2023-2023-K42815,2023-08-18,3,372.6,95.98094723955006
2023-08-21,KAMLOOPS - FEDERAL BUILDING,BC-2023-2023-K52767,2023-08-15,6,13970.4,98.8467421903479
2023-08-21,KAMLOOPS - FEDERAL BUILDING,BC-2023-2023-K52808,2023-08-17,4,733,103.18044690864117
2023-08-21,KAMLOOPS - FEDERAL BUILDING,BC-2023-2023-K52813,2023-08-18,3,2043.8,159.28947928722948
2023-08-21,KAMLOOPS - FEDERAL BUILDING,BC-2023-2023-K72705,2023-08-09,12,1015.5,124.5188274756314
2023-08-21,KAMLOOPS - FEDERAL BUILDING,BC-2023-2023-V12722,2023-08-13,8,1517.7,186.68776942531431
