Fire_ID,Fire_Year,Report_Date,Report_Year,Fire_Latitude,Fire_Longitude,Size_Ha,Cause,Response,Fire_Date,Date_Status
BC-2023-2023-K52813,2023,2023-08-18,2023,49.3014,-119.7091,2043.8,Human,Full,2023-08-18,Original
BC-2023-2023-C50100,2023,2023-04-27,2023,52.0351,-123.177,209,Human,Full,2023-04-27,Original
BC-2023-2023-G30210,2023,2023-05-04,2023,53.2884,-120.0705,1100,Human,Full,2023-05-04,Original
BC-2023-2023-C30675,2023,2023-06-08,2023,52.2548,-120.8352,226,Human,Full,2023-06-08,Original
BC-2023-2023-V11152,2023,2023-07-04,2023,49.3115,-122.2438,215,Human,Modified,2023-07-04,Original
BC-2023-2023-V10588,2023,2023-06-03,2023,49.4837,-121.9887,767.2,Human,Modified,2023-06-03,Original
BC-2023-2023-G80220,2023,2023-05-01,2023,56.271,-119.9341,6422.17,Human,Full,2023-05-01,Original
BC-2023-2023-G80175,2023,2023-05-01,2023,56.5319,-121.9246,385,Human,Full,2023-05-01,Original
BC-2023-2023-K22757,2023,2023-07-17,2023,51.4623,-119.7008,1771.9,Natural,Modified,2023-07-17,Original
BC-2023-2023-C11290,2023,2023-07-07,2023,52.8138,-122.9345,2784.7,Natural,Full,2023-07-07,Original
BC-2023-2023-V51696,2023,2023-07-13,2023,51.1679,-125.017,238,Natural,Monitor,2023-07-13,Original
BC-2023-2023-G91494,2023,2023-07-10,2023,59.8051,-121.7854,6996.4,Natural,Monitor,2023-07-10,Original
BC-2023-2023-G90776,2023,2023-06-09,2023,58.2226,-123.8847,804.46,Natural,Monitor,2023-06-09,Original
BC-2023-2023-C11243,2023,2023-07-07,2023,53.0419,-123.4067,1297.6,Natural,Full,2023-07-07,Original
BC-2023-2023-G51474,2023,2023-07-08,2023,54.7353,-125.1753,1503.4,Natural,Full,2023-07-08,Original
BC-2023-2023-V52804,2023,2023-08-16,2023,50.6693,-123.9888,302,Natural,Monitor,2023-08-16,Original
BC-2023-2023-G91467,2023,2023-07-09,2023,59.2839,-122.1495,888.01,Natural,Monitor,2023-07-09,Original
BC-2023-2023-G41158,2023,2023-07-06,2023,52.9571,-125.672,21926.5,Natural,Modified,2023-07-06,Original
BC-2023-2023-R31512,2023,2023-07-10,2023,55.0104,-127.4476,556.13,Natural,Modified,2023-07-10,Original
BC-2023-2023-G92947,2023,2023-08-25,2023,59.2269,-128.0591,7301.75,Natural,Monitor,2023-08-25,Original
BC-2023-2023-G41560,2023,2023-07-11,2023,53.4541,-124.2051,1144.3,Natural,Modified,2023-07-11,Original
BC-2023-2023-N12046,2023,2023-07-21,2023,49.7128,-114.9208,1295,Natural,Full,2023-07-21,Original
BC-2023-2023-C11499,2023,2023-07-09,2023,53.1661,-123.7126,7864,Natural,Full,2023-07-09,Original
BC-2023-2023-G90709,2023,2023-06-04,2023,59.8265,-123.5519,37793.9,Natural,Modified,2023-06-04,Original
BC-2023-2023-G41502,2023,2023-07-10,2023,53.5682,-125.2453,34853.6,Natural,Full,2023-07-10,Original
